policy_id,driver_age,vehicle_age,vehicle_type,annual_mileage,accident_history,location_risk_score,policy_duration_years,previous_claims,credit_score,claim_cost
1,56,11,Convertible,8706,2,0.93,7,0,525,2586
2,69,4,SUV,22590,1,0.66,2,0,739,1811
3,46,15,Truck,13601,0,0.45,8,0,687,416
4,32,12,Convertible,8469,0,0.11,6,0,575,1507
5,60,12,Truck,29791,0,0.99,9,0,668,415
6,25,16,Convertible,9847,0,0.51,9,0,668,690
7,78,6,Sedan,5348,0,0.99,9,1,643,1867
8,38,7,Convertible,8651,0,0.75,9,0,620,796
9,56,12,Convertible,7878,0,0.15,2,1,647,2069
10,75,15,Truck,16857,1,0.87,7,0,693,934
11,36,3,Truck,9749,0,0.58,5,1,691,1355
12,40,7,Convertible,16261,0,0.51,9,1,650,2136
13,28,15,Convertible,25378,0,0.78,1,0,661,1001
14,28,9,Hatchback,16304,1,0.8,7,1,644,2223
15,41,11,Sedan,5002,1,0.82,5,0,601,771
16,70,11,Sedan,22501,2,0.78,9,1,647,3602
17,53,4,SUV,28267,0,0.68,7,0,613,1626
18,57,15,Convertible,17694,0,0.71,4,1,600,2818
19,41,0,Convertible,19353,1,0.87,8,0,529,1995
20,20,8,Convertible,6517,1,0.72,9,0,630,1371
21,39,11,Convertible,26230,1,0.19,9,0,689,1483
22,70,4,Sedan,15087,2,0.68,4,0,711,2543
23,19,19,Truck,24963,1,0.25,6,0,672,1846
24,41,2,Hatchback,18175,0,0.11,4,0,585,1101
25,61,4,Truck,23763,0,0.29,1,0,642,1978
26,47,1,Truck,25648,0,0.24,6,0,592,1763
27,55,13,Sedan,24207,0,0.19,8,0,745,1458
28,19,1,Hatchback,22232,1,0.29,6,0,631,1767
29,77,12,Convertible,10036,1,0.61,3,0,625,1527
30,38,6,Sedan,21589,0,0.24,8,1,696,1504
31,50,9,Sedan,5520,0,0.35,9,3,648,5096
32,29,12,Hatchback,24960,0,0.86,1,2,704,3512
33,75,15,SUV,26497,0,0.9,6,0,594,255
34,39,13,Sedan,20705,1,0.4,8,0,654,1413
35,78,10,Truck,11258,1,0.91,2,0,675,1708
36,61,9,Truck,28191,2,0.63,4,0,519,2133
37,42,5,Convertible,7134,0,0.3,1,0,616,1583
38,66,3,Sedan,20454,0,0.78,4,0,619,146
39,44,0,Convertible,9838,0,0.93,2,0,653,222
40,76,6,Sedan,23859,0,0.69,3,1,634,2093
41,59,8,Hatchback,27201,1,0.28,4,0,665,1681
42,45,7,Sedan,25929,1,0.18,3,0,638,1748
43,77,4,SUV,29177,0,0.31,6,0,707,1009
44,33,18,Truck,5785,1,0.4,7,0,756,2081
45,32,9,Hatchback,13143,1,0.4,7,0,575,2201
46,79,10,Truck,29092,2,0.55,1,0,651,2627
47,79,14,Convertible,20050,1,0.55,5,1,704,2438
48,64,5,Hatchback,25481,0,0.52,3,0,615,1484
49,79,14,SUV,26581,0,0.41,1,0,664,1254
50,68,4,Truck,18635,0,0.2,1,0,631,1644
51,61,18,Sedan,15982,0,0.48,2,0,600,214
52,72,18,Sedan,18409,1,0.99,8,0,599,1735
53,69,9,Sedan,20988,3,0.69,4,0,526,2851
54,74,11,Hatchback,23541,1,0.5,3,0,658,1410
55,20,3,SUV,8528,0,0.18,8,1,662,2731
56,54,17,SUV,8559,1,0.29,2,3,602,4621
57,68,15,SUV,19120,0,0.62,9,0,636,1091
58,24,7,Truck,29518,0,0.55,4,0,578,626
59,38,3,Hatchback,29946,0,0.12,9,0,677,1899
60,26,11,Sedan,7937,1,0.18,1,0,630,2077
61,56,1,Truck,29556,0,0.42,5,0,689,396
62,35,3,SUV,13138,0,0.23,7,0,634,880
63,21,4,Sedan,10141,0,0.96,4,0,601,0
64,42,2,Hatchback,22105,0,0.13,5,1,623,3595
65,77,8,Convertible,22307,0,0.98,9,0,725,0
66,31,17,SUV,26775,1,0.69,6,0,755,1371
67,67,10,SUV,29041,1,0.47,6,2,575,4629
68,75,2,SUV,5835,1,0.59,2,0,695,2461
69,26,1,SUV,23877,1,0.47,1,0,595,2738
70,43,8,Sedan,7979,0,0.62,4,0,612,650
71,70,13,Hatchback,15517,0,0.24,3,0,660,1344
72,19,3,Truck,17116,0,0.21,7,1,674,2145
73,37,8,Sedan,7424,0,0.58,7,0,614,0
74,45,12,Hatchback,19567,0,0.16,6,1,681,1844
75,64,17,Truck,21104,0,0.36,5,0,709,120
76,77,14,SUV,19927,1,0.93,3,0,686,1564
77,24,9,Hatchback,9521,0,0.89,4,0,602,257
78,61,15,SUV,16318,3,0.85,5,0,628,2990
79,78,11,Hatchback,19280,0,0.56,4,1,694,2308
80,25,19,Convertible,19776,1,0.13,3,0,728,2127
81,64,4,SUV,23760,0,0.21,2,0,586,1639
82,52,1,SUV,20180,0,0.93,5,0,665,1487
83,31,9,SUV,21837,1,0.85,2,0,687,1072
84,34,0,Sedan,8459,1,0.44,2,0,580,730
85,53,6,Truck,24931,0,0.76,2,0,701,269
86,67,16,SUV,6148,0,0.87,2,0,756,564
87,57,15,SUV,21906,0,0.66,8,0,683,1091
88,21,2,Sedan,9577,2,0.87,7,1,678,3599
89,19,13,Sedan,21505,2,0.32,9,0,612,2070
90,79,9,Convertible,25002,2,0.52,3,0,625,1803
91,23,6,Hatchback,20672,0,0.62,1,0,618,1375
92,71,16,SUV,11630,0,0.67,6,0,606,1027
93,59,5,Hatchback,8722,0,0.99,9,0,638,505
94,21,3,Sedan,24467,0,0.86,1,0,665,580
95,71,16,Sedan,10930,1,0.15,1,0,607,2062
96,46,8,Convertible,18388,0,0.25,4,0,633,958
97,35,3,Truck,28107,0,0.69,1,0,666,266
98,43,6,Sedan,26197,1,0.32,9,0,544,1527
99,61,1,SUV,24691,3,0.24,6,0,697,4756
100,51,16,Convertible,8642,0,0.7,5,0,661,1536
101,27,7,Truck,24201,0,0.58,5,0,661,1199
